,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
324,frozenset({'store'}),"frozenset({'transit_station', 'real_estate_agency'})",0.975925925925926,0.8055555555555556,0.8055555555555556,0.825426944971537,1.0246679316888045,0.019393004115226264,1.1138285024154588
325,frozenset({'real_estate_agency'}),"frozenset({'transit_station', 'store'})",0.812962962962963,0.9518518518518518,0.8055555555555556,0.9908883826879271,1.0410111413452932,0.031735253772290806,5.284259259259266
326,"frozenset({'transit_station', 'store'})",frozenset({'doctor'}),0.9518518518518518,0.8037037037037037,0.7944444444444444,0.8346303501945525,1.0384801592282449,0.029437585733882,1.1870152505446618
327,"frozenset({'transit_station', 'doctor'})",frozenset({'store'}),0.7944444444444444,0.975925925925926,0.7944444444444444,1.0,1.0246679316888045,0.019125514403292132,inf
328,"frozenset({'store', 'doctor'})",frozenset({'transit_station'}),0.8037037037037037,0.9592592592592593,0.7944444444444444,0.988479262672811,1.0304610074195328,0.023484224965706457,3.5362962962962947
329,frozenset({'transit_station'}),"frozenset({'store', 'doctor'})",0.9592592592592593,0.8037037037037037,0.7944444444444444,0.8281853281853281,1.0304610074195326,0.023484224965706457,1.1424885559717015
330,frozenset({'store'}),"frozenset({'transit_station', 'doctor'})",0.975925925925926,0.7944444444444444,0.7944444444444444,0.8140417457305502,1.0246679316888045,0.019125514403292132,1.1053854875283444
331,frozenset({'doctor'}),"frozenset({'transit_station', 'store'})",0.8037037037037037,0.9518518518518518,0.7944444444444444,0.988479262672811,1.038480159228245,0.029437585733882,4.179259259259259
332,"frozenset({'transit_station', 'store'})",frozenset({'highSales'}),0.9518518518518518,0.7444444444444445,0.7129629629629629,0.7490272373540856,1.0061559904756374,0.004362139917695407,1.0182601205857018
333,"frozenset({'transit_station', 'highSales'})",frozenset({'store'}),0.7185185185185186,0.975925925925926,0.7129629629629629,0.9922680412371133,1.0167452414953342,0.011742112482853062,3.1135802469135405
334,"frozenset({'highSales', 'store'})",frozenset({'transit_station'}),0.725925925925926,0.9592592592592593,0.7129629629629629,0.982142857142857,1.0238554881412023,0.016611796982167304,2.2814814814814612
335,frozenset({'transit_station'}),"frozenset({'highSales', 'store'})",0.9592592592592593,0.725925925925926,0.7129629629629629,0.7432432432432432,1.0238554881412023,0.016611796982167304,1.067446393762183
336,frozenset({'store'}),"frozenset({'transit_station', 'highSales'})",0.975925925925926,0.7185185185185186,0.7129629629629629,0.730550284629981,1.0167452414953342,0.011742112482853062,1.044653103808033
337,frozenset({'highSales'}),"frozenset({'transit_station', 'store'})",0.7444444444444445,0.9518518518518518,0.7129629629629629,0.9577114427860696,1.0061559904756372,0.004362139917695407,1.138562091503266
338,"frozenset({'store', 'real_estate_agency'})",frozenset({'doctor'}),0.812962962962963,0.8037037037037037,0.7074074074074074,0.8701594533029612,1.0826868773815645,0.054026063100137134,1.511825860948667
339,"frozenset({'store', 'doctor'})",frozenset({'real_estate_agency'}),0.8037037037037037,0.812962962962963,0.7074074074074074,0.880184331797235,1.0826868773815645,0.054026063100137134,1.5610398860398853
340,"frozenset({'real_estate_agency', 'doctor'})",frozenset({'store'}),0.7074074074074074,0.975925925925926,0.7074074074074074,1.0,1.0246679316888045,0.017030178326474577,inf
341,frozenset({'store'}),"frozenset({'real_estate_agency', 'doctor'})",0.975925925925926,0.7074074074074074,0.7074074074074074,0.7248576850094876,1.0246679316888045,0.017030178326474577,1.0634227330779051
342,frozenset({'real_estate_agency'}),"frozenset({'store', 'doctor'})",0.812962962962963,0.8037037037037037,0.7074074074074074,0.8701594533029612,1.0826868773815645,0.054026063100137134,1.511825860948667
343,frozenset({'doctor'}),"frozenset({'store', 'real_estate_agency'})",0.8037037037037037,0.812962962962963,0.7074074074074074,0.880184331797235,1.0826868773815645,0.054026063100137134,1.5610398860398853
344,"frozenset({'hair_care', 'real_estate_agency'})",frozenset({'transit_station'}),0.7407407407407407,0.9592592592592593,0.7388888888888889,0.9975,1.039864864864865,0.028326474622771047,16.296296296296646
345,"frozenset({'hair_care', 'transit_station'})",frozenset({'real_estate_agency'}),0.8444444444444444,0.812962962962963,0.7388888888888889,0.875,1.0763097949886105,0.05238683127572019,1.496296296296296
346,"frozenset({'transit_station', 'real_estate_agency'})",frozenset({'hair_care'}),0.8055555555555556,0.85,0.7388888888888889,0.9172413793103449,1.079107505070994,0.054166666666666696,1.8125000000000016
347,frozenset({'hair_care'}),"frozenset({'transit_station', 'real_estate_agency'})",0.85,0.8055555555555556,0.7388888888888889,0.869281045751634,1.079107505070994,0.054166666666666696,1.4875
348,frozenset({'real_estate_agency'}),"frozenset({'hair_care', 'transit_station'})",0.812962962962963,0.8444444444444444,0.7388888888888889,0.908883826879271,1.0763097949886105,0.05238683127572019,1.707222222222222
349,frozenset({'transit_station'}),"frozenset({'hair_care', 'real_estate_agency'})",0.9592592592592593,0.7407407407407407,0.7388888888888889,0.7702702702702703,1.039864864864865,0.028326474622771047,1.1285403050108935
350,"frozenset({'hair_care', 'doctor'})",frozenset({'transit_station'}),0.7425925925925926,0.9592592592592593,0.737037037037037,0.9925187032418953,1.0346720072405857,0.024698216735253742,5.445679012345695
351,"frozenset({'hair_care', 'transit_station'})",frozenset({'doctor'}),0.8444444444444444,0.8037037037037037,0.737037037037037,0.8728070175438597,1.0859810817365996,0.058353909465020615,1.5432950191570887
352,"frozenset({'transit_station', 'doctor'})",frozenset({'hair_care'}),0.7944444444444444,0.85,0.737037037037037,0.9277389277389279,1.0914575620457976,0.06175925925925929,2.0758064516129067
353,frozenset({'hair_care'}),"frozenset({'transit_station', 'doctor'})",0.85,0.7944444444444444,0.737037037037037,0.8671023965141612,1.0914575620457974,0.06175925925925929,1.5467213114754101
354,frozenset({'doctor'}),"frozenset({'hair_care', 'transit_station'})",0.8037037037037037,0.8444444444444444,0.737037037037037,0.9170506912442397,1.0859810817365996,0.058353909465020615,1.8753086419753093
355,frozenset({'transit_station'}),"frozenset({'hair_care', 'doctor'})",0.9592592592592593,0.7425925925925926,0.737037037037037,0.7683397683397684,1.034672007240586,0.024698216735253742,1.111141975308642
356,"frozenset({'transit_station', 'real_estate_agency'})",frozenset({'doctor'}),0.8055555555555556,0.8037037037037037,0.7018518518518518,0.871264367816092,1.0840616558080407,0.05442386831275714,1.5248015873015874
357,"frozenset({'transit_station', 'doctor'})",frozenset({'real_estate_agency'}),0.7944444444444444,0.812962962962963,0.7018518518518518,0.8834498834498835,1.0867037290727497,0.05599794238683131,1.6047777777777783
358,"frozenset({'real_estate_agency', 'doctor'})",frozenset({'transit_station'}),0.7074074074074074,0.9592592592592593,0.7018518518518518,0.9921465968586388,1.0342840971113223,0.023264746227709243,5.187654320987704
359,frozenset({'transit_station'}),"frozenset({'real_estate_agency', 'doctor'})",0.9592592592592593,0.7074074074074074,0.7018518518518518,0.7316602316602316,1.0342840971113223,0.023264746227709243,1.0903810285105249
360,frozenset({'real_estate_agency'}),"frozenset({'transit_station', 'doctor'})",0.812962962962963,0.7944444444444444,0.7018518518518518,0.8633257403189065,1.0867037290727495,0.05599794238683131,1.503981481481481
361,frozenset({'doctor'}),"frozenset({'transit_station', 'real_estate_agency'})",0.8037037037037037,0.8055555555555556,0.7018518518518518,0.8732718894009216,1.0840616558080405,0.05442386831275714,1.5343434343434335
362,"frozenset({'store', 'restaurant', 'bus_station'})",frozenset({'home_goods_store'}),0.8925925925925926,0.7648148148148148,0.7111111111111111,0.7966804979253113,1.0416645735585184,0.02844307270233193,1.1567271352985642
363,"frozenset({'home_goods_store', 'store', 'bus_station'})",frozenset({'restaurant'}),0.7333333333333333,0.9259259259259259,0.7111111111111111,0.9696969696969698,1.0472727272727274,0.032098765432098886,2.4444444444444553
364,"frozenset({'store', 'restaurant', 'home_goods_store'})",frozenset({'bus_station'}),0.7388888888888889,0.9425925925925925,0.7111111111111111,0.9624060150375939,1.021020133831632,0.014639917695473237,1.5270370370370363
365,"frozenset({'home_goods_store', 'restaurant', 'bus_station'})",frozenset({'store'}),0.7111111111111111,0.975925925925926,0.7111111111111111,1.0,1.0246679316888045,0.017119341563786028,inf
